Item name,Min Strength,Max Strength,Rarity
Hatchet,134,163,Fine
Hatchet,212,259,Masterwork
Bloodsaw Cleaver,226,276,Masterwork
Hatchet,227,278,Fine
Hatchet,248,303,Masterwork
Ebon Vanguard Axe,358,437,Rare
Steam Axe,358,437,Rare
Pirate Hatchet,358,437,Rare
Shiverpeak Hatchet,358,437,Rare
Lionguard Axe,358,437,Rare
Lionguard Axe,358,437,Rare
Glyphic Axe,358,437,Rare
Krytan Axe,358,437,Rare
Glyphic Axe,358,437,Rare
Thunderhead Axe,440,538,Fine
Caer Axe,440,538,Fine
Fine Caer Axe,477,583,Masterwork
Wren Axe,440,538,Fine
Potatlan's Better Axe,477,583,Masterwork
Potatlan's Axe,440,538,Fine
Lionguard Axe,534,653,Rare
Ebon Vanguard Axe,534,653,Rare
verdant Axe,140,171,Fine
Orewood Axe,142,174,Fine
Blood Legion Axe,150,183,Fine
Tamini Axe,157,191,Fine
Fireman's Axe,171,209,Fine
Hatchet,196,239,Fine
Lionguard Axe,534,653,Rare
Verdant Axe,534,653,Rare
Flame Cleaver,534,653,Rare
Verdant Axe,534,653,Rare
Norn Axe,534,653,Rare
Aureate Axe,534,653,Rare
Thunderhead Axe,606,740,Masterwork
Wren Axe,606,740,Masterwork
Adamant Guard Axe,759,928,Rare
Wolfborn Axe,759,928,Rare
Ebon Vanguard Axe,759,928,Rare
Warden Axe,759,928,Rare
Bandit Cleaver,759,928,Rare
Bandit Cleaver,654,799,Fine
Bandit Cleaver,706,863,Masterwork
Lionguard Axe,759,928,Rare
Togatl Trident,216,238,Fine
Ebon Vanguard Trident,378,417,Rare
Steam Trident,378,417,Rare
Pirate Trident,378,417,Rare
Shiverpeak Trident,378,417,Rare
Lionguard Trident,378,417,Rare
Lionguard Trident,378,417,Rare
Glyphic Trispear,378,417,Rare
Krytan Trident,378,417,Rare
Glyphic Trispear,378,417,Rare
Hunter's Trident,474,524,Fine
Fine Hunter's Trident,513,567,Masterwork
Lionguard Trident,564,623,Rare
Ebon Vanguard Trident,564,623,Rare
Seraph Axe,759,928,Rare
Peacemaker's Axe,759,928,Rare
Lionguard Axe,759,928,Rare
Trident,165,183,Fine
Hylek Fish Poker,169,187,Fine
Iron Legion Trident,169,187,Fine
Quetzal Trident,169,187,Fine
Truffle-Baited Trident,234,258,Masterwork
Lionguard Trident,564,623,Rare
Verdant Trident,564,623,Rare
Flame Trident,564,623,Rare
Verdant Trident,564,623,Rare
Norn Trident,564,623,Rare
Aureate Trident,564,623,Rare
OooOoo Chum Trispear,552,610,Masterwork
Chum Trispear,510,564,Fine
Adamant Guard Trident,802,886,Rare
Wolfborn Trident,802,886,Rare
Ebon Vanguard Trident,802,886,Rare
Warden Trident,802,886,Rare
Black Earth Trident,690,762,Fine
Black Earth Trident,745,823,Masterwork
Black Earth Trident,802,886,Rare
Lionguard Trident,802,886,Rare
Seraph Trident,802,886,Rare
Peacemaker's Trident,802,886,Rare
Lionguard Trident,802,886,Rare
Opticalium Focusing Stick,156,176,Fine
